Directorate,Updated,TransNo,Service,Cost Centre,Supplier Name,Amount,Type
Adult & Community Services,12/7/2009,2630346,Library & Information Services,CR89,Cornerstone & Thomson Roddick,"4,597.23",Capital
Adult & Community Services,12/16/2009,2632357,Library & Information Services,CL83,Cornerstone & Thomson Roddick,"1,282.08",Capital
Adult & Community Services,10/14/2009,2620054,Library & Information Services,CR88,D H Electrical Services Ltd,532.76,Capital
Adult & Community Services,11/27/2009,2629019,Library & Information Services,CP41,Dell  Corporation Ltd,"1,066.20",Capital
Adult & Community Services,10/13/2009,2620001,Library & Information Services,CR84,Demco Interiors,"3,644.29",Capital
Adult & Community Services,10/26/2009,2623150,Library & Information Services,CR78,F J Lane & Son Ltd,"2,016.00",Capital
Adult & Community Services,12/10/2009,2631360,Library & Information Services,CR84,Intellident Ltd,570,Capital
Adult & Community Services,12/17/2009,2632719,Library & Information Services,CL77,ITS - Integrated Technology Solutions UK,"6,738.48",Capital
Adult & Community Services,10/27/2009,2623304,Library & Information Services,CR86,Morris & Blunt Ltd,"32,300.00",Capital
Adult & Community Services,10/28/2009,2623608,Library & Information Services,CL83,Morris & Blunt Ltd,"25,300.63",Capital
Adult & Community Services,10/22/2009,2622510,Library & Information Services,CL77,Nigel Rose LLP,"1,648.50",Capital
Adult & Community Services,10/8/2009,2619367,Library & Information Services,CR84,Opening the Book Promotions,625,Capital
Adult & Community Services,10/8/2009,2619369,Library & Information Services,CR84,Opening the Book Promotions,795,Capital
Adult & Community Services,10/23/2009,2622913,Library & Information Services,CR84,Sign Technology,"1,350.00",Capital
Adult & Community Services,11/4/2009,2624471,Library & Information Services,CR16,Southern Electric Contracting Plc,"1,720.00",Capital
Adult & Community Services,10/5/2009,2617685,Library & Information Services,CL87,The Anthony Smith Partnership,540,Capital
Adult & Community Services,12/16/2009,2632364,Library & Information Services,CR86,The Anthony Smith Partnership,"1,214.43",Capital
Adult & Community Services,9/23/2009,2616048,Library & Information Services,CR87,Tuffin Ferraby & Taylor,"3,670.45",Capital
Adult & Community Services,10/9/2009,2618990,Library & Information Services,CR84,Waldron Office Furniture Ltd,"1,255.72",Capital
Adult & Community Services,12/1/2009,2626972,Magnet Leisure Centre,LM05,Active Security,"1,407.25",Revenue
Adult & Community Services,11/23/2009,2626880,Magnet Leisure Centre,LM05,Aggreko UK Limited,"2,626.25",Revenue
Adult & Community Services,10/21/2009,2621748,Magnet Leisure Centre,LM05,Avica UK Ltd,"1,833.53",Revenue
Adult & Community Services,10/29/2009,2623300,Magnet Leisure Centre,LM05,Baylis Media Ltd Maidenhead Advertiser,"4,950.00",Revenue
Adult & Community Services,10/1/2009,2617794,Magnet Leisure Centre,LM05,Bullseye Awards & Garments Ltd,"3,400.00",Revenue
Adult & Community Services,9/10/2009,2613595,Magnet Leisure Centre,LM05,Combined Power (South) Ltd,"2,983.36",Revenue
Adult & Community Services,11/11/2009,2625587,Magnet Leisure Centre,LM15,Courtney Coaches Ltd,"1,461.85",Revenue
Adult & Community Services,11/12/2009,2625704,Magnet Leisure Centre,LM15,Courtney Coaches Ltd,"1,595.07",Revenue
Adult & Community Services,12/16/2009,2632032,Magnet Leisure Centre,LM15,Courtney Coaches Ltd,"1,873.39",Revenue
Adult & Community Services,12/7/2009,2629559,Magnet Leisure Centre,LM05,Environmental Water Systems UK Ltd,517.5,Revenue
Adult & Community Services,11/17/2009,2626035,Magnet Leisure Centre,LM05,ERIKS Electro Mechanical Services(WYKO EMS),"1,586.15",Revenue
Adult & Community Services,10/7/2009,2618320,Magnet Leisure Centre,LM05,Forever Fuels Limited,700,Revenue
Adult & Community Services,10/1/2009,2617943,Magnet Leisure Centre,LM05,Forward Vending & Catering Ltd,650.1,Revenue
Adult & Community Services,12/1/2009,2628471,Magnet Leisure Centre,LM05,Forward Vending & Catering Ltd,650.1,Revenue
Adult & Community Services,12/16/2009,2632124,Magnet Leisure Centre,LM05,Forward Vending & Catering Ltd,650.1,Revenue
Adult & Community Services,10/13/2009,2619202,Magnet Leisure Centre,LM05,funtasia Design,"1,386.00",Revenue
Adult & Community Services,9/21/2009,2615207,Magnet Leisure Centre,LM05,G T Refrigeration (Chertsey) Ltd,"1,495.00",Revenue
Adult & Community Services,10/15/2009,2619016,Magnet Leisure Centre,LM05,G T Refrigeration (Chertsey) Ltd,"1,890.00",Revenue
Adult & Community Services,10/12/2009,2619018,Magnet Leisure Centre,LM05,G T Refrigeration (Chertsey) Ltd,"3,600.00",Revenue
Adult & Community Services,12/15/2009,2632225,Magnet Leisure Centre,LM05,G T Refrigeration (Chertsey) Ltd,"1,495.18",Revenue
Adult & Community Services,12/16/2009,2632033,Magnet Leisure Centre,LM20,Go Kids Ltd,590,Revenue
Adult & Community Services,12/7/2009,2629563,Magnet Leisure Centre,LM05,HSS Hire Service Group Ltd,927.4,Revenue
Adult & Community Services,10/9/2009,2619487,Magnet Leisure Centre,LM05,IQL UK Ltd,592,Revenue
Adult & Community Services,12/7/2009,2629898,Magnet Leisure Centre,LM05,J P Lennard Ltd,928.84,Revenue
Adult & Community Services,10/7/2009,2618679,Magnet Leisure Centre,LM10,Maidenhead Rugby Football Club,643.02,Revenue
Adult & Community Services,10/7/2009,2618685,Magnet Leisure Centre,LM10,Maidenhead Rugby Football Club,951.88,Revenue
Adult & Community Services,12/18/2009,2632804,Magnet Leisure Centre,LM10,Maidenhead Rugby Football Club,"2,987.46",Revenue
Adult & Community Services,9/17/2009,2615274,Magnet Leisure Centre,LM05,Northern Leisure Group,"1,355.00",Revenue
Adult & Community Services,10/19/2009,2618705,Magnet Leisure Centre,LM05,Otis Limited,802.72,Revenue
Adult & Community Services,12/18/2009,2633175,Magnet Leisure Centre,LM05,Otis Limited,802.72,Revenue
Adult & Community Services,12/16/2009,2631465,Magnet Leisure Centre,LM25,Projuice Ltd,626.05,Revenue
Adult & Community Services,11/23/2009,2625074,Magnet Leisure Centre,LM05,Prospec Limited,"2,710.55",Revenue
Adult & Community Services,10/7/2009,2618940,Magnet Leisure Centre,LM05,R & M Sound and Light,670,Revenue
Adult & Community Services,11/23/2009,2626980,Magnet Leisure Centre,LM05,R & M Sound and Light,"1,090.00",Revenue
Adult & Community Services,12/18/2009,2633153,Magnet Leisure Centre,LM15,Renate Gerda Beynon,512,Revenue
Adult & Community Services,12/16/2009,2632019,Magnet Leisure Centre,LM15,Sarah Beattie,552.5,Revenue
Adult & Community Services,9/21/2009,2614935,Magnet Leisure Centre,LM05,Sico Europe Ltd,745,Revenue
Adult & Community Services,9/10/2009,2613263,Magnet Leisure Centre,LM05,Siemens Water Technologies,515,Revenue
Adult & Community Services,9/17/2009,2614940,Magnet Leisure Centre,LM05,Solo Service Group,"13,127.00",Revenue
Adult & Community Services,10/8/2009,2618976,Magnet Leisure Centre,LM05,Solo Service Group,"13,127.00",Revenue
Adult & Community Services,11/17/2009,2626029,Magnet Leisure Centre,LM05,Solo Service Group,"6,797.00",Revenue
Adult & Community Services,12/18/2009,2633217,Magnet Leisure Centre,LM05,Solo Service Group,"13,127.00",Revenue
Adult & Community Services,9/21/2009,2615196,Magnet Leisure Centre,LM05,South East Water Plc,"1,795.58",Revenue
Adult & Community Services,10/1/2009,2617367,Magnet Leisure Centre,LM05,South East Water Plc,"2,622.59",Revenue
Adult & Community Services,10/12/2009,2619199,Magnet Leisure Centre,LM05,South East Water Plc,"1,480.72",Revenue
Adult & Community Services,12/16/2009,2631715,Magnet Leisure Centre,LM10,Southern Electric Plc,"1,115.43",Revenue
Adult & Community Services,9/2/2009,2611981,Magnet Leisure Centre,LM05,Thames Water Utilities Ltd,"1,068.89",Revenue
Adult & Community Services,10/1/2009,2617370,Magnet Leisure Centre,LM05,Thames Water Utilities Ltd,565.62,Revenue
Adult & Community Services,11/11/2009,2625582,Magnet Leisure Centre,LM05,Thames Water Utilities Ltd,794.85,Revenue
Adult & Community Services,11/23/2009,2626990,Magnet Leisure Centre,LM05,Thames Water Utilities Ltd,761.75,Revenue
Adult & Community Services,10/19/2009,2621399,Magnet Leisure Centre,LM25,The Beerwarehouse,620.29,Revenue
Adult & Community Services,12/7/2009,2629903,Magnet Leisure Centre,LM25,The Beerwarehouse,"2,441.68",Revenue
Adult & Community Services,9/29/2009,2617442,Magnet Leisure Centre,LM05,The Thames Group,"2,517.50",Revenue
Adult & Community Services,9/21/2009,2615434,Magnet Leisure Centre,LM05,Total Gas & Power Limited,"7,671.93",Revenue
Adult & Community Services,10/16/2009,2621042,Magnet Leisure Centre,LM05,Total Gas & Power Limited,"7,115.20",Revenue
Adult & Community Services,12/1/2009,2627068,Magnet Leisure Centre,LM05,Total Gas & Power Limited,"8,036.06",Revenue
Adult & Community Services,12/21/2009,2633319,Magnet Leisure Centre,LM05,Total Gas & Power Limited,"15,738.77",Revenue
Adult & Community Services,12/16/2009,2631516,Magnet Leisure Centre,LM05,Veolia ES Onyx Ltd,623.7,Revenue
Adult & Community Services,10/9/2009,2617846,Magnet Leisure Centre,LM05,Veolia ES Onyx Ltd,623.7,Revenue
Adult & Community Services,10/9/2009,2617847,Magnet Leisure Centre,LM05,Veolia ES Onyx Ltd,579.15,Revenue
Adult & Community Services,10/29/2009,2623306,Magnet Leisure Centre,LM05,Veolia ES Onyx Ltd,579.15,Revenue
Adult & Community Services,11/17/2009,2625784,Magnet Leisure Centre,LM05,Vinyl Master {Oxford},530,Revenue
Adult & Community Services,10/7/2009,2618963,Magnet Leisure Centre,LM15,White Knights Travel,"1,050.00",Revenue
Adult & Community Services,12/16/2009,2631723,Magnet Leisure Centre,LM05,Wilts Wholesale Electrical Company Ltd,"1,420.00",Revenue
Adult & Community Services,12/21/2009,2633317,Magnet Leisure Centre,LM05,Wilts Wholesale Electrical Company Ltd,526.28,Revenue
Adult & Community Services,12/21/2009,2633325,Magnet Leisure Centre,LM05,Wilts Wholesale Electrical Company Ltd,584.76,Revenue
Adult & Community Services,9/2/2009,2612311,Magnet Leisure Centre,LM40,Zoggs International Ltd,"1,044.00",Revenue
Adult & Community Services,10/1/2009,2617406,Magnet Leisure Centre,LM40,Zoggs International Ltd,"2,380.80",Revenue
Adult & Community Services,10/1/2009,2617458,Magnet Leisure Centre,LM40,Zoggs International Ltd,623.71,Revenue
Adult & Community Services,11/17/2009,2626030,Magnet Leisure Centre,LM40,Zoggs International Ltd,"1,256.85",Revenue
Adult & Community Services,12/1/2009,2627103,Magnet Leisure Centre,LM40,Zoggs International Ltd,"1,074.54",Revenue
Adult & Community Services,12/15/2009,2631475,Magnet Leisure Centre,LM40,Zoggs International Ltd,710.01,Revenue
Adult & Community Services,9/10/2009,2613725,Mental Health,SMHC,Albany House,"2,424.00",Revenue
Adult & Community Services,9/17/2009,2615001,Mental Health,SMHC,Albany House,"2,626.00",Revenue
Adult & Community Services,10/12/2009,2618124,Mental Health,SMHC,Albany House,"2,424.00",Revenue
Adult & Community Services,10/20/2009,2621340,Mental Health,SMHC,Albany House,"2,626.00",Revenue
Adult & Community Services,10/20/2009,2621343,Mental Health,SMHC,Albany House,"2,424.00",Revenue
Adult & Community Services,11/5/2009,2624612,Mental Health,SMHC,Albany House,"2,600.00",Revenue
Adult & Community Services,11/5/2009,2624613,Mental Health,SMHC,Albany House,"2,626.00",Revenue
Adult & Community Services,11/13/2009,2625993,Mental Health,SMHC,Albany House,"2,424.00",Revenue
Adult & Community Services,11/25/2009,2628561,Mental Health,SMHC,Albany House,"2,424.00",Revenue
Adult & Community Services,12/10/2009,2630795,Mental Health,SMHC,Albany House,"2,600.00",Revenue
Adult & Community Services,12/10/2009,2630796,Mental Health,SMHC,Albany House,"2,626.00",Revenue
Adult & Community Services,12/21/2009,2633381,Mental Health,SMHC,Albany House,"2,626.00",Revenue
Adult & Community Services,12/21/2009,2633383,Mental Health,SMHC,Albany House,"2,600.00",Revenue
Adult & Community Services,12/21/2009,2633429,Mental Health,SMHC,Albany House,"2,424.00",Revenue
Adult & Community Services,9/17/2009,2614992,Mental Health,SMHC,Aldwick Residential Care Home,"1,244.32",Revenue
Adult & Community Services,10/20/2009,2621547,Mental Health,SMHC,Aldwick Residential Care Home,"1,244.32",Revenue
Adult & Community Services,11/24/2009,2627739,Mental Health,SMHC,Aldwick Residential Care Home,"1,333.20",Revenue
Adult & Community Services,12/10/2009,2630802,Mental Health,SMHC,Aldwick Residential Care Home,"1,377.64",Revenue
Adult & Community Services,9/10/2009,2613165,Mental Health,SMET,Berkshire Healthcare NHS Trust,"2,473.15",Revenue
Adult & Community Services,9/8/2009,2613169,Mental Health,SMHT,Berkshire Healthcare NHS Trust,"2,552.08",Revenue
Adult & Community Services,9/8/2009,2613170,Mental Health,SMHT,Berkshire Healthcare NHS Trust,"4,580.85",Revenue
Adult & Community Services,10/14/2009,2620242,Mental Health,SMHT,Berkshire Healthcare NHS Trust,"2,621.52",Revenue
Adult & Community Services,10/14/2009,2620243,Mental Health,SMHT,Berkshire Healthcare NHS Trust,"4,557.53",Revenue
Adult & Community Services,10/13/2009,2620245,Mental Health,SMET,Berkshire Healthcare NHS Trust,"2,437.37",Revenue
Adult & Community Services,11/5/2009,2624793,Mental Health,SMHT,Berkshire Healthcare NHS Trust,"4,594.22",Revenue
Adult & Community Services,11/5/2009,2624794,Mental Health,SMET,Berkshire Healthcare NHS Trust,"2,522.60",Revenue
Adult & Community Services,11/5/2009,2624795,Mental Health,SMHT,Berkshire Healthcare NHS Trust,"3,504.92",Revenue
Adult & Community Services,11/5/2009,2624796,Mental Health,SMHT,Berkshire Healthcare NHS Trust,"2,621.52",Revenue
Adult & Community Services,12/14/2009,2631548,Mental Health,SMHT,Berkshire Healthcare NHS Trust,"3,384.40",Revenue
Adult & Community Services,12/14/2009,2631549,Mental Health,SMHT,Berkshire Healthcare NHS Trust,"4,422.62",Revenue
Adult & Community Services,12/14/2009,2631550,Mental Health,SMHT,Berkshire Healthcare NHS Trust,"2,591.79",Revenue
Adult & Community Services,12/14/2009,2631551,Mental Health,SMHT,Berkshire Healthcare NHS Trust,"2,472.93",Revenue
Adult & Community Services,9/17/2009,2614848,Mental Health,SMHC,Chalfont Lodge Nursing Home,"3,816.39",Revenue
Adult & Community Services,9/24/2009,2616679,Mental Health,SMHC,Chalfont Lodge Nursing Home,"7,169.23",Revenue
Adult & Community Services,10/20/2009,2621262,Mental Health,SMHC,Chalfont Lodge Nursing Home,"3,943.60",Revenue
Adult & Community Services,10/20/2009,2621267,Mental Health,SMHC,Chalfont Lodge Nursing Home,"6,937.45",Revenue
Adult & Community Services,11/24/2009,2627778,Mental Health,SMHC,Chalfont Lodge Nursing Home,"6,713.66",Revenue
Adult & Community Services,11/24/2009,2627782,Mental Health,SMHC,Chalfont Lodge Nursing Home,"3,816.39",Revenue
Adult & Community Services,12/8/2009,2630553,Mental Health,SMHC,Chalfont Lodge Nursing Home,"6,937.45",Revenue
