"Wardcode","Wardname","Subgroup"
"00MWQU","Shalfleet and Yarmouth","8.14.23"
"00MWQW","Shanklin Central","8.13.22"
"00MWQX","Shanklin North","8.13.22"
"00MWQY","Shanklin South","3.5.8"
"00MWQZ","Totland","8.14.23"
"00MWRA","Ventnor East","3.5.8"
"00MWRB","Ventnor West","8.13.22"
"00MWRC","Wootton","8.14.23"
"00MWRD","Wroxall and Godshill","8.14.23"
"00NAMA","Aberffraw","8.13.21"
"00NAMB","Amlwch Port","1.1.1"
"00NAMC","Amlwch Rural","8.13.21"
"00NAMD","Beaumaris","8.13.22"
"00NAME","Bodffordd","8.13.21"
"00NAMF","Bodorgan","8.13.21"
"00NAMG","Braint","7.10.16"
"00NAMH","Bryngwran","8.16.25"
"00NAMJ","Brynteg","8.14.23"
"00NAMK","Cadnant","3.5.8"
"00NAML","Cefni","8.14.23"
"00NAMM","Cwm Cadnant","9.17.26"
"00NAMN","Cyngar","8.13.22"
"00NAMP","Gwyngyll","8.14.23"
"00NAMQ","Holyhead Town","2.4.5"
"00NAMR","Kingsland","2.4.5"
"00NAMS","Llanbadrig","8.13.22"
"00NAMT","Llanbedrgoch","8.14.23"
"00NAMU","Llanddyfnan","8.13.21"
"00NAMW","Llaneilian","8.13.21"
"00NAMX","Llanfaethlu","8.13.21"
"00NAMY","Llanfair-yn-Neubwll","7.10.17"
"00NAMZ","Llanfihangel Ysgeifiog","8.13.21"
"00NANA","Llangoed","8.14.23"
"00NANB","Llanidan","8.13.21"
"00NANC","Llannerch-y-medd","8.13.21"
"00NAND","London Road","2.4.5"
"00NANE","Maeshyfryd","2.4.5"
"00NANF","Mechell","8.13.21"
"00NANG","Moelfre","8.13.21"
"00NANH","Morawelon","2.3.4"
"00NANJ","Parc a'r Mynydd","8.15.24"
"00NANK","Pentraeth","8.13.21"
"00NANL","Porthyfelin","2.4.5"
"00NANN","Rhosyr","8.13.22"
"00NANP","Trearddur","8.14.23"
"00NANQ","Tudur","2.3.4"
"00NANR","Tysilio","8.13.22"
"00NANS","Valley","1.1.2"
"00NCQA","Aberdaron","8.13.21"
"00NCQB","Aberdovey","8.14.23"
"00NCQC","Abererch","8.13.22"
"00NCQD","Abermaw","3.5.8"
"00NCQF","Arllechwedd","8.13.21"
"00NCQG","Bala","8.13.22"
"00NCQH","Bethel","8.13.21"
"00NCQJ","Bontnewydd","1.1.2"
"00NCQK","Botwnnog","8.13.21"
"00NCQL","Bowydd and Rhiw","2.4.5"
"00NCQM","Birthdir and Llanfachreth/Ganllwyd/Llane","8.13.21"
"00NCQN","Bryn-crug","8.13.21"
"00NCQP","Cadnant","2.4.5"
"00NCQR","Corris\Mawddwy","8.13.21"
"00NCQS","Criccieth","8.14.23"
"00NCQU","Deiniol","5.7.11"
"00NCQW","Deiniolen","8.13.22"
"00NCQX","Dewi","1.2.3"
"00NCQY","Diffwys and Maenofferen","2.4.5"
"00NCQZ","Dolbernmaen","8.13.21"
"00NCRA","Dolgellau North","8.13.22"
"00NCRB","Dolgellau South","8.13.22"
"00NCRC","Dyffryn Ardudwy","8.14.23"
"00NCRD","Efail-newydd/Buan","8.13.21"
"00NCRF","Gerlan","2.4.5"
"00NCRG","Glyder","1.1.2"
"00NCRH","Groeslon","8.13.22"
"00NCRJ","Harlech","8.14.23"
"00NCRK","Hendre","2.4.5"
"00NCRL","Hirael","5.7.13"
"00NCRM","Llanaelhaearn","8.13.22"
"00NCRN","Llanbedr","8.13.21"
"00NCRP","Llanbedrog","8.14.23"
"00NCRQ","Llanberis","8.13.22"
"00NCRR","Llandderfel","8.13.21"
"00NCRS","Llanengan","8.13.21"
"00NCRT","Llangelynin","8.13.21"
"00NCRU","Llanllyfni","8.13.21"
"00NCRW","Llanrug","8.13.22"
"00NCRY","Llanwnda","1.1.2"
"00NCRZ","Llanystumdwy","8.13.21"
"00NCSA","Marchog","2.3.4"
"00NCSB","Menai (Bangor)","5.7.11"
"00NCSC","Menai (Caernarfon)","8.13.22"
"00NCSD","Morfa Nefyn","8.14.23"
"00NCSE","Nefyn","8.13.22"
"00NCSF","Ogwen","2.4.5"
"00NCSG","Peblig (Caernarfon)","2.3.4"
"00NCSH","Penisarwaun","8.13.22"
"00NCSJ","Penrhyndeudraeth","8.13.22"
"00NCSK","Pentir","7.12.19"
"00NCSL","Penygroes","2.4.5"
"00NCSM","Porthmadog East","2.4.5"
"00NCSN","Porthmadog West","8.14.23"
"00NCSP","Porthmadog - Tremadog","8.13.22"
"00NCSQ","Pwllheli North","2.4.5"
"00NCSR","Pwllheli South","2.4.5"
"00NCST","Seiont","1.2.3"
"00NCSU","Talysarn","8.13.22"
"00NCSW","Teigl","2.4.5"
"00NCSX","Trawsfynydd","8.13.21"
"00NCSY","Tregarth & Mynydd Llandygai","1.1.2"
"00NCTA","Tywyn","8.13.22"
"00NCTB","Waunfawr","8.13.21"
"00NCTC","Y Felinheli","5.7.12"
"00NENT","Abergele Pensarn","3.5.8"
"00NENU","Betws-y-Coed","8.13.21"
"00NENW","Betws yn Rhos","8.13.21"
"00NENX","Bryn","8.13.22"
"00NENY","Caerhun","8.13.21"
"00NENZ","Capelulo","8.13.22"
"00NEPA","Colwyn","8.13.22"
"00NEPB","Conwy","8.13.22"
"00NEPC","Craig-y-Don","3.5.8"
"00NEPD","Crwst","8.13.22"
"00NEPE","Deganwy","8.14.23"
"00NEPF","Eglwysbach","8.13.21"
"00NEPG","Eirias","8.13.22"
"00NEPH","Gele","8.14.23"
"00NEPJ","Glyn","2.4.5"
"00NEPK","Gogarth","3.5.8"
"00NEPL","Gower","1.2.3"
"00NEPM","Kinmel Bay","8.13.22"
"00NEPN","Llanddulas","8.14.23"
"00NEPP","Llandrillo yn Rhos","8.14.23"
"00NEPQ","Llangernyw","8.13.21"
"00NEPR","Llansanffraid","7.10.16"
"00NEPS","Llansannan","8.13.21"
"00NEPT","Llysfaen","1.2.3"
"00NEPU","Marl","8.13.22"
"00NEPW","Mochdre","8.13.22"
"00NEPX","Mostyn","3.5.8"
"00NEPY","Pandy","8.13.22"
"00NEPZ","Pant-yr-afon/Penmaenan","8.13.22"
"00NEQA","Penrhyn","8.14.23"
"00NEQB","Pensarn","8.13.22"
"00NEQC","Pentre Mawr","8.13.22"
"00NEQD","Rhiw","3.5.8"
"00NEQE","Towyn","8.14.23"
"00NEQF","Trefriw","8.13.22"
"00NEQG","Tudno","1.2.3"
"00NEQH","Uwch Conwy","8.13.21"
"00NEQJ","Uwchaled","8.13.21"
"00NGNK","Bodelwyddan","1.1.2"
"00NGNL","Corwen","8.13.22"
"00NGNM","Denbigh Central","8.13.22"
"00NGNN","Denbigh Lower","1.1.2"
"00NGNP","Denbigh Upper/Henllan","1.2.3"
"00NGNQ","Dyserth","7.10.16"
"00NGNR","Efenechtyd","8.13.21"
"00NGNS","Llanarmon-yn-Ial/Llandegla","9.17.26"
"00NGNT","Llanbedr Dyffryn Clwyd/Llangynhafal","9.17.26"
"00NGNU","Llandrillo","8.13.21"
"00NGNW","Llandyrnog","8.13.21"
"00NGNX","Llanfair Dyffryn Clwyd/Gwyddelwern","8.13.21"
"00NGNY","Llangollen","8.13.22"
"00NGNZ","Llanrhaeadr-yng-Nghinmeirch","8.13.21"
"00NGPA","Prestatyn Central","8.13.22"
"00NGPB","Prestatyn East","8.13.22"
"00NGPC","Prestatyn Meliden","8.13.22"
"00NGPD","Prestatyn North","8.14.23"
"00NGPE","Prestatyn South West","8.13.22"
"00NGPF","Rhuddlan","8.13.22"
"00NGPG","Rhyl East","8.14.23"
"00NGPH","Rhyl South","8.14.23"
"00NGPJ","Rhyl South East","8.13.22"
"00NGPK","Rhyl South West","1.2.3"
"00NGPL","Rhyl West","3.5.8"
"00NGPM","Ruthin","8.13.22"
"00NGPN","St. Asaph East","8.14.23"
"00NGPP","St. Asaph West","8.13.22"
"00NGPQ","Trefnant","8.14.23"
"00NGPR","Tremeirchion","8.13.21"
"00NJPJ","Argoed","7.10.16"
"00NJPK","Aston","7.10.16"
"00NJPL","Bagillt East","8.15.24"
"00NJPM","Bagillt West","1.1.1"
"00NJPN","Broughton North East","8.15.24"
"00NJPP","Broughton South","8.15.24"
"00NJPQ","Brynford","7.10.16"
"00NJPR","Buckley Bistre East","8.15.24"
"00NJPS","Buckley Bistre West","8.15.24"
"00NJPT","Buckley Mountain","7.10.16"
"00NJPU","Buckley Pentrobin","7.10.16"
"00NJPW","Caergwrle","8.15.24"
"00NJPX","Caerwys","9.17.26"
"00NJPY","Cilcain","9.17.26"
"00NJPZ","Connah's Quay Central","1.1.1"
"00NJQA","Connah's Quay Golftyn","8.15.24"
"00NJQB","Connah's Quay South","8.15.24"
"00NJQC","Connah's Quay Wepre","8.15.24"
"00NJQD","Ewloe","7.10.16"
"00NJQE","Ffynnongroyw","8.13.22"
"00NJQF","Flint Castle","1.1.1"
"00NJQG","Flint Coleshill","8.15.24"
"00NJQH","Flint Oakenholt","1.1.1"
"00NJQJ","Flint Trelawny","8.15.24"
"00NJQK","Greenfield","1.1.1"
"00NJQL","Gronant","8.13.22"
"00NJQM","Gwernaffield","9.17.26"
"00NJQN","Gwernymynydd","9.17.26"
"00NJQP","Halkyn","9.17.26"
"00NJQQ","Hawarden","8.14.23"
"00NJQR","Higher Kinnerton","9.17.26"
"00NJQS","Holywell Central","1.1.1"
"00NJQT","Holywell East","8.15.24"
"00NJQU","Holywell West","8.15.24"
"00NJQW","Hope","7.10.16"
"00NJQX","Leeswood","8.15.24"
"00NJQY","Llanfynydd","7.10.16"
"00NJQZ","Mancot","8.15.24"
"00NJRA","Mold Broncoed","8.15.24"
"00NJRB","Mold East","1.1.2"
"00NJRC","Mold South","7.10.16"
"00NJRD","Mold West","1.1.1"
"00NJRE","Mostyn","8.15.24"
"00NJRF","New Brighton","7.10.16"
"00NJRG","Northop","7.10.16"
"00NJRH","Northop Hall","7.10.16"
"00NJRJ","Penyffordd","7.10.16"
"00NJRK","Queensferry","1.1.1"
"00NJRL","Saltney Mold Junction","1.2.3"
"00NJRM","Saltney Stonebridge","1.2.3"
"00NJRN","Sealand","1.2.3"
"00NJRP","Shotton East","1.1.1"
"00NJRQ","Shotton Higher","2.3.4"
"00NJRR","Shotton West","8.15.24"
"00NJRS","Trelawnyd and Gwaenysgor","7.10.16"
"00NJRT","Treuddyn","7.10.16"
"00NJRU","Whitford","7.10.16"
"00NLNW","Acton","1.1.1"
"00NLNX","Borras Park","7.10.16"
"00NLNY","Bronington","9.17.26"
"00NLNZ","Brymbo","1.1.1"
"00NLPA","Brynyffynnon","5.7.12"
"00NLPB","Bryn Cefn","8.15.24"
"00NLPC","Cartrefle","2.3.4"
"00NLPD","Cefn","1.1.1"
"00NLPE","Dyffryn Ceiriog/Ceiriog Valley","8.13.21"
"00NLPF","Chirk North","8.15.24"
"00NLPG","Chirk South","8.15.24"
"00NLPH","Coedpoeth","8.15.24"
"00NLPJ","Erddig","7.10.16"
"00NLPK","Esclusham","8.15.24"
"00NLPL","Garden Village","1.1.2"
"00NLPM","Gresford East and West","1.1.2"
"00NLPN","Grosvenor","3.5.8"
"00NLPP","Gwenfro","1.1.1"
"00NLPQ","Gwersyllt East and South","8.15.24"
"00NLPR","Gwersyllt North","1.1.1"
"00NLPS","Gwersyllt West","8.15.24"
"00NLPT","Hermitage","3.5.8"
"00NLPU","Holt","7.10.16"
"00NLPW","Johnstown","8.15.24"
"00NLPX","Little Acton","7.10.16"
"00NLPY","Llangollen Rural","1.1.2"
"00NLPZ","Llay","8.15.24"
"00NLQA","Maesydre","1.1.2"
"00NLQB","Marchwiel","8.13.21"
"00NLQC","Marford and Hoseley","9.17.26"
"00NLQD","Minera","7.10.16"
"00NLQE","New Broughton","1.1.1"
"00NLQF","Offa","2.4.5"
"00NLQG","Overton","8.13.21"
"00NLQH","Pant","1.1.1"
"00NLQJ","Penycae","1.1.1"
"00NLQK","Penycae and Ruabon South","7.10.16"
"00NLQL","Plas Madoc","2.3.4"
"00NLQM","Ponciau","1.1.2"
"00NLQN","Queensway","2.3.4"
"00NLQP","Rhosnesni","7.10.16"
"00NLQQ","Rossett","9.17.26"
"00NLQR","Ruabon","1.1.1"
"00NLQS","Smithfield","2.4.5"
"00NLQT","Stansty","8.15.24"
"00NLQU","Whitegate","1.1.1"
"00NLQW","Wynnstay","2.3.4"
"00NNQG","Aber-craf","1.1.2"
"00NNQJ","Beguildy","8.13.21"
"00NNQK","Berriew","8.13.21"
"00NNQL","Blaen Hafren","8.13.21"
"00NNQM","Bronllys","8.13.21"
"00NNQN","Builth","8.13.22"
"00NNQQ","Caersws","7.10.16"
"00NNQR","Churchstoke","8.13.21"
"00NNQS","Crickhowell","8.14.23"
"00NNQT","Cwm-twrch","1.1.2"
"00NNQU","Disserth and Trecoed","8.14.23"
"00NNQW","Dolforwyn","8.13.21"
"00NNQX","Felin-fâch","8.13.21"
"00NNQY","Forden","9.17.26"
"00NNQZ","Glantwymyn","8.13.21"
"00NNRA","Glasbury","8.13.21"
"00NNRB","Guilsfield","8.13.21"
"00NNRC","Gwernyfed","8.13.21"
"00NNRD","Hay","8.13.22"
"00NNRE","Kerry","8.13.21"
"00NNRF","Knighton","8.13.22"
"00NNRG","Llanafanfawr","8.13.21"
"00NNRH","Llanbadarn Fawr","8.13.21"
"00NNRJ","Llanbrynmair","8.13.21"
"00NNRK","Llandinam","8.13.21"
"00NNRL","Llandrindod East/Llandrindod West","3.5.8"
"00NNRM","Llandrindod North","1.2.3"
"00NNRN","Llandrindod South","3.5.8"
"00NNRP","Llandrinio","8.13.21"
"00NNRQ","Llandysilio","8.13.21"
"00NNRR","Llanelwedd","8.13.21"
"00NNRS","Llanfair Caereinion","8.13.21"
"00NNRU","Llanfyllin","8.13.21"
"00NNRW","Llangattock","8.13.21"
"00NNRX","Llangors","8.13.21"
"00NNRY","Llangunllo","8.13.21"
"00NNRZ","Llangynidr","9.17.26"
"00NNSA","Llanidloes","8.13.22"
"00NNSB","Llanrhaeadr-ym-Mochnant","8.13.21"
"00NNSC","Llanrhaeadr-ym-Mochnant/Llansilin","8.13.21"
"00NNSD","Llansantffraid","8.13.21"
"00NNSE","Llanwrtyd Wells","8.13.21"
"00NNSF","Llanyre","8.13.21"
"00NNSG","Machynlleth","8.13.22"
"00NNSH","Maescar/Llywel","8.13.21"
"00NNSJ","Meifod","8.13.21"
"00NNSK","Montgomery","8.13.22"
"00NNSL","Nantmel","8.13.21"
"00NNSM","Newtown Central","1.2.3"
"00NNSN","Newtown East","1.2.3"
"00NNSP","Newtown Llanllwchaiarn North","8.13.22"
"00NNSQ","Newtown Llanllwchaiarn West","8.13.22"
"00NNSR","Newtown South","2.3.4"
"00NNST","Old Radnor","8.13.21"
"00NNSU","Presteigne","8.13.22"
"00NNSW","Rhayader","8.13.22"
"00NNSX","Rhiwcynon","8.13.21"
"00NNSY","St. David Within","8.13.22"
"00NNSZ","St. John","8.13.22"
"00NNTA","St. Mary","5.7.12"
"00NNTB","Talgarth","1.1.2"
"00NNTC","Talybont-on-Usk","8.13.21"
"00NNTD","Tawe-Uchaf","1.1.2"
"00NNTE","Trewern","7.10.16"
"00NNTF","Welshpool Castle","1.2.3"
"00NNTG","Welshpool Gungrog","8.15.24"
"00NNTH","Welshpool Llanerchyddol","8.13.22"
"00NNTJ","Ynyscedwyn","1.1.2"
"00NNTK","Yscir","8.13.21"
"00NNTL","Ystradgynlais","1.1.1"
"00NQNP","Aberaeron","3.5.8"
"00NQNQ","Aberporth","8.14.23"
"00NQNR","Aberteifi/Cardigan - Mwldan","8.14.23"
"00NQNS","Aberteifi/Cardigan - Rhyd-y-Fuwch","3.5.8"
"00NQNT","Aberteifi/Cardigan - Teifi","2.4.5"
"00NQNU","Aberystwyth Bronglais","5.7.11"
"00NQNW","Aberystwyth Canol/Central","5.7.11"
"00NQNX","Aberystwyth Gogledd/North","5.7.11"
"00NQNY","Aberystwyth Penparcau","1.2.3"
"00NQNZ","Aberystwyth Rheidol","5.7.11"
"00NQPA","Beulah","8.13.21"
"00NQPB","Borth","8.13.21"
"00NQPC","Capel Dewi","8.13.21"
"00NQPD","Ceulanamaesmawr","8.13.21"
"00NQPE","Ciliau Aeron","8.13.21"
"00NQPF","Faenor","5.7.13"
"00NQPG","Lampeter","5.7.13"
"00NQPH","Llanarth","8.13.21"
"00NQPJ","Llanbadarn Fawr - Padarn","5.7.13"
"00NQPL","Llandyfriog","8.13.21"
"00NQPM","Llandysiliogogo","8.13.21"
"00NQPN","Llandysul Town","8.13.22"
"00NQPP","Llanfarian","8.13.21"
"00NQPQ","Llanfihangel Ystrad","8.13.21"
"00NQPR","Llangeitho","8.13.21"
"00NQPS","Llangybi","8.13.21"
"00NQPT","Llanrhystyd","8.13.21"
"00NQPU","Llansantffraed","8.13.21"
"00NQPW","Llanwenog","8.13.21"
"00NQPX","Lledrod","8.13.21"
"00NQPY","Melindwr","8.13.21"
"00NQPZ","New Quay","8.13.22"
"00NQQA","Penbryn","8.13.21"
"00NQQB","Pen-parc","8.13.21"
"00NQQC","Tirymynach","8.13.22"
"00NQQD","Trefeurig","7.10.16"
"00NQQE","Tregaron","8.13.21"
"00NQQF","Troedyraur","8.13.21"
"00NQQG","Ystwyth","8.13.21"
"00NSPH","Amroth","8.13.21"
"00NSPJ","Burton","9.17.26"
"00NSPK","Camrose","8.13.21"
"00NSPL","Carew","8.13.21"
"00NSPM","Cilgerran","8.13.21"
"00NSPN","Clydau","8.13.21"
"00NSPP","Crymych","8.13.21"
"00NSPQ","Dinas Cross","8.13.21"
"00NSPR","East Williamston","8.13.21"
"00NSPS","Fishguard North East","8.14.23"
"00NSPT","Fishguard North West","8.13.22"
"00NSPU","Goodwick","8.13.22"
"00NSPW","Haverfordwest: Castle","3.5.8"
"00NSPX","Haverfordwest: Garth","1.2.3"
"00NSPY","Haverfordwest: Portfield","8.13.22"
"00NSPZ","Haverfordwest: Prendergast","8.13.22"
"00NSQA","Haverfordwest: Priory","8.13.22"
"00NSQB","Hundleton","8.13.21"
"00NSQC","Johnston","8.13.22"
"00NSQD","Kilgetty/Begelly","8.14.23"
"00NSQE","Lampeter Velfrey","8.13.21"
"00NSQF","Lamphey","8.14.23"
"00NSQG","Letterston","8.13.21"
"00NSQH","Llangwm","7.10.16"
"00NSQJ","Llanrhian","8.13.21"
"00NSQK","Maenclochog","8.13.21"
"00NSQL","Manorbier","8.13.21"
"00NSQM","Martletwy","8.13.21"
"00NSQN","Merlin's Bridge","1.2.3"
"00NSQP","Milford: Central","8.13.22"
"00NSQQ","Milford: East","1.2.3"
"00NSQR","Milford: Hakin","8.13.22"
"00NSQS","Milford: Hubberston","1.2.3"
"00NSQT","Milford: North","8.15.24"
"00NSQU","Milford: West","2.4.5"
"00NSQW","Narberth","8.13.22"
"00NSQX","Narberth Rural","8.13.21"
"00NSQY","Newport","8.14.23"
"00NSQZ","Neyland: East","1.2.3"
"00NSRA","Neyland: West","8.15.24"
"00NSRB","Pembroke Dock: Central","2.4.5"
"00NSRC","Pembroke Dock: Llanion","1.2.3"
"00NSRD","Pembroke Dock: Market","2.4.5"
"00NSRE","Pembroke Dock: Pennar","1.2.3"
"00NSRF","Pembroke: Monkton","2.3.4"
"00NSRG","Pembroke: St. Mary North","1.2.3"
"00NSRH","Pembroke: St. Mary South","2.4.5"
"00NSRJ","Pembroke: St. Michael","7.10.16"
"00NSRK","Penally","8.14.23"
"00NSRL","Rudbaxton","8.13.21"
"00NSRM","St. David's","8.14.23"
"00NSRN","St. Dogmaels","8.13.21"
"00NSRP","St. Ishmael's","8.13.21"
"00NSRQ","Saundersfoot","8.14.23"
"00NSRR","Scleddau","8.13.21"
"00NSRS","Solva","8.13.21"
"00NSRT","Tenby: North","8.13.22"
"00NSRU","Tenby: South","3.5.8"
"00NSRW","The Havens","8.13.21"
"00NSRX","Wiston","8.13.21"
"00NUPW","Abergwili","8.13.21"
"00NUPX","Ammanford","8.13.22"
"00NUPY","Betws","1.1.2"
"00NUPZ","Bigyn","1.1.1"
"00NUQA","Burry Port","1.1.2"
"00NUQB","Bynea","1.1.1"
"00NUQC","Carmarthen Town North","8.13.22"
"00NUQD","Carmarthen Town South","3.5.8"
"00NUQE","Carmarthen Town West","8.13.22"
"00NUQF","Cenarth","8.13.21"
"00NUQG","Cilycwm","8.13.21"
"00NUQH","Cynwyl Elfed","8.13.21"
"00NUQJ","Cynwyl Gaeo","8.13.21"
"00NUQK","Dafen","1.1.1"
"00NUQL","Elli","8.13.22"
"00NUQM","Felinfoel","1.1.1"
"00NUQN","Garnant","1.1.2"
"00NUQP","Glanamman","1.1.2"
"00NUQQ","Glanymor","2.4.5"
"00NUQR","Glyn","1.1.2"
"00NUQS","Gorslas","1.1.2"
"00NUQT","Hendy","1.1.2"
"00NUQU","Hengoed","1.1.2"
"00NUQW","Kidwelly","8.13.22"
"00NUQX","Laugharne Township","8.13.21"
"00NUQY","Llanboidy","8.13.21"
"00NUQZ","Llanddarog","8.13.21"
"00NURA","Llandeilo","8.13.22"
"00NURB","Llandovery","8.13.22"
"00NURC","Llandybie","1.1.2"
"00NURD","Llanegwad","8.13.21"
"00NURE","Llanfihangel Aberbythych","8.13.21"
"00NURF","Llanfihangel-ar-Arth","8.13.21"
"00NURG","Llangadog","8.13.21"
"00NURH","Llangeler","8.13.21"
"00NURJ","Llangennech","1.1.2"
"00NURK","Llangunnor","8.14.23"
"00NURL","Llangyndeyrn","1.1.2"
"00NURM","Llannon","1.1.2"
"00NURN","Llansteffan","8.13.21"
"00NURP","Llanybydder","8.13.21"
"00NURQ","Lliedi","1.1.1"
"00NURR","Llwynhendy","1.1.1"
"00NURS","Manordeilo and Salem","8.13.21"
"00NURT","Pembrey","1.1.2"
"00NURU","Penygroes","1.1.2"
"00NURW","Pontamman","1.1.2"
"00NURX","Pontyberem","1.1.2"
"00NURY","Quarter Bach","1.1.2"
"00NURZ","St. Clears","8.13.22"
"00NUSA","St. Ishmael","8.13.21"
"00NUSB","Saron","1.1.2"
"00NUSC","Swiss Valley","7.10.16"
"00NUSD","Trelech","8.13.21"
"00NUSE","Trimsaran","1.1.2"
"00NUSF","Tycroes","1.1.2"
"00NUSG","Tyisha","2.4.5"
"00NUSH","Whitland","8.13.22"
"00NXNW","Bishopston","8.14.23"
"00NXNX","Bonymaen","1.2.3"
"00NXNY","Castle","3.5.8"
"00NXNZ","Clydach","1.1.2"
"00NXPA","Cockett","1.1.2"
"00NXPB","Cwmbwrla","2.4.5"
"00NXPC","Dunvant","1.1.2"
"00NXPD","Fairwood","7.10.16"
"00NXPE","Gorseinon","1.1.1"
"00NXPF","Gower","9.17.26"
"00NXPG","Gowerton","1.1.2"
"00NXPH","Killay North","5.7.13"
"00NXPJ","Killay South","8.14.23"
"00NXPK","Kingsbridge","1.1.2"
"00NXPL","Landore","2.4.5"
"00NXPM","Llangyfelach","7.11.18"
"00NXPN","Llansamlet","1.1.2"
"00NXPP","Lower Loughor","1.1.2"
"00NXPQ","Mawr","7.10.16"
"00NXPR","Mayals","8.14.23"
"00NXPS","Morriston","1.1.2"
"00NXPT","Mynyddbach","1.1.2"
"00NXPU","Newton","8.14.23"
"00NXPW","Oystermouth","8.14.23"
"00NXPX","Penclawdd","1.1.2"
"00NXPY","Penderry","2.3.4"
"00NXPZ","Penllergaer","1.1.2"
"00NXQA","Pennard","8.14.23"
"00NXQB","Penyrheol","1.1.2"
"00NXQC","Pontardulais","1.1.2"
"00NXQD","St. Thomas","2.4.5"
"00NXQE","Sketty","8.14.23"
"00NXQF","Townhill","2.3.4"
"00NXQG","Uplands","5.7.12"
"00NXQH","Upper Loughor","1.1.2"
"00NXQJ","West Cross","1.1.2"
"00NZMA","Aberavon","1.1.1"
"00NZMB","Aberdulais","1.1.1"
"00NZMC","Allt-wen","1.1.2"
"00NZMD","Baglan","1.1.2"
"00NZME","Blaengwrach","1.1.1"
"00NZMF","Briton Ferry East","1.1.1"
"00NZMG","Briton Ferry West","1.1.1"
"00NZMH","Bryn and Cwmavon","1.1.1"
"00NZMJ","Bryn-coch North","7.10.16"
"00NZMK","Bryn-coch South","1.1.2"
"00NZML","Cadoxton","1.1.2"
"00NZMM","Cimla","1.1.2"
"00NZMN","Coedffranc Central","1.1.1"
"00NZMP","Coedffranc North","8.15.24"
"00NZMQ","Coedffranc West","1.1.2"
"00NZMR","Crynant","1.1.2"
"00NZMS","Cwmllynfell","1.1.2"
"00NZMT","Cymmer","1.1.1"
"00NZMU","Dyffryn","1.1.2"
"00NZMW","Glyncorrwg","1.1.1"
"00NZMX","Glynneath","1.1.1"
"00NZMY","Godre'r graig","1.1.2"
"00NZMZ","Gwaun-Cae-Gurwen","1.1.1"
"00NZNA","Gwynfi","1.1.1"
"00NZNB","Lower Brynamman","1.1.2"
"00NZNC","Margam","1.1.2"
"00NZND","Neath East","1.1.1"
"00NZNE","Neath North","1.1.1"
"00NZNF","Neath South","1.1.1"
"00NZNG","Onllwyn","1.1.1"
"00NZNH","Pelenna","1.1.2"
"00NZNJ","Pontardawe","1.1.2"
"00NZNK","Port Talbot","1.1.1"
"00NZNL","Resolven","1.1.1"
"00NZNM","Rhos","7.10.16"
"00NZNN","Sandfields East","1.1.1"
"00NZNP","Sandfields West","1.1.1"
"00NZNQ","Seven Sisters","1.1.1"
"00NZNR","Tai-bach","1.1.1"
"00NZNS","Tonna","1.1.2"
"00NZNT","Trebanos","1.1.2"
"00NZNU","Ystalyfera","1.1.1"
"00PBNF","Aberkenfig","1.1.2"
"00PBNG","Bettws","1.1.1"
"00PBNH","Blackmill","1.1.1"
"00PBNJ","Blaengarw","1.1.1"
"00PBNK","Brackla","7.10.17"
"00PBNL","Bryncethin","7.10.17"
"00PBNM","Bryncoch","1.1.1"
"00PBNN","Bryntirion","7.10.16"
"00PBNP","Caerau","1.1.1"
"00PBNQ","Cefn Cribwr","8.15.24"
"00PBNR","Cefn Glas","8.15.24"
"00PBNS","Coity","7.10.16"
"00PBNT","Cornelly","1.1.1"
"00PBNU","Coychurch Lower","9.17.26"
"00PBNW","Felindre","8.15.24"
"00PBNX","Hendre","8.15.24"
"00PBNY","Litchard","7.10.16"
"00PBNZ","Llangeinor","1.1.1"
"00PBPA","Llangewydd and Brynhyfryd","8.15.24"
"00PBPB","Llangynwyd","8.15.24"
"00PBPC","Maesteg East","1.1.1"
"00PBPD","Maesteg West","1.1.1"
"00PBPE","Morfa","1.1.1"
"00PBPF","Nant-y-moel","1.1.1"
"00PBPG","Newcastle","1.1.2"
"00PBPH","Newton","8.14.23"
"00PBPJ","Nottage","8.14.23"
"00PBPK","Ogmore Vale","1.1.1"
"00PBPL","Oldcastle","1.1.2"
"00PBPM","Pendre","1.1.2"
"00PBPN","Penprysg","8.15.24"
"00PBPP","Pen-y-fai","7.10.16"
"00PBPQ","Pontycymmer","1.1.1"
"00PBPR","Porthcawl East Central","8.13.22"
"00PBPS","Porthcawl West Central","3.5.8"
"00PBPT","Pyle","1.1.1"
"00PBPU","Rest Bay","8.14.23"
"00PBPW","Sarn","1.1.1"
"00PBPX","Ynysawdre","1.1.1"
"00PDMZ","Baruc","1.1.2"
"00PDNA","Buttrills","1.2.3"
"00PDNB","Cadoc","1.2.3"
"00PDNC","Castleland","2.4.5"
"00PDND","Cornerswell","1.1.2"
"00PDNE","Court","1.2.3"
"00PDNF","Cowbridge","9.17.26"
"00PDNG","Dinas Powys","1.1.2"
"00PDNH","Dyfan","1.1.2"
"00PDNJ","Gibbonsdown","2.3.4"
"00PDNK","Illtyd","7.10.17"
"00PDNL","Llandough","1.1.2"
"00PDNM","Llandow/Ewenny","9.17.26"
"00PDNN","Llantwit Major","7.10.16"
"00PDNP","Peterston-super-Ely","9.17.26"
"00PDNQ","Plymouth","8.14.23"
